"artist","total_albums","total_tracks","avg_track_length_min","short_tracks","medium_tracks","long_tracks","first_release_date","last_release_date","explicit_percentage"
"Taylor Swift","29","410","2556.29","14","248","146","260361","False","5.75"
"Ed Sheeran","28","386","3.76","0","260","121","20dY0uZi9SzfrcWYfiWGqH","True","1.1"
"Drake","24","332","3.95","6","167","143","1ATL5GLyefJaxhQzSPVrLX","True","39.12"
"The Weeknd","25","264","6.95","14","123","124","0P3oVJBFOv3TDXlYRhGL7s","True","14.88"
"Billie Eilish","29","61","17.64","1","29","23","0JGOiO34nwfUdDrD612dOp","False","0.47"
"""The Weeknd","5","5","87.75","0","0","36","85","False","0.0"
"""Drake","3","3","72.41","0","3","18","2016-05-06","85","0.0"
"""Ed Sheeran","2","2","79.0","0","0","18","76","82","0.0"
"""Future","1","1",,"0","0","0","2022-04-29","2022-04-29","100.0"
"""Lil Wayne","1","1","79.0","0","0","9","79","79","0.0"
