ARTIST,TOTAL_ALBUMS,TOTAL_TRACKS,AVG_TRACK_LENGTH_MIN,AVG_POPULARITY,SHORT_TRACKS,MEDIUM_TRACKS,LONG_TRACKS,FIRST_RELEASE_DATE,LAST_RELEASE_DATE
Taylor Swift,1,135,3.40,91.69,30,105,0,2025-10-03,2025-10-03
Billie Eilish,7,135,4.06,85.72,0,120,15,2016-11-18,2024-05-17
Ed Sheeran,4,120,3.79,81.00,30,90,0,1970-01-01,2025-09-12
The Weeknd,4,75,3.91,86.88,0,75,0,2015-08-28,2020-03-20
Drake,4,60,4.06,85.25,0,60,0,2011-11-15,2025-02-14
"Billie Eilish, Khalid",1,15,3.34,88.00,0,15,0,2018-04-19,2018-04-19
"Lil Wayne, Drake",1,15,5.10,78.00,0,0,15,2011-08-29,2011-08-29
"Future, Drake, Tems",1,15,3.16,83.00,0,15,0,2022-04-29,2022-04-29
"The Weeknd, Daft Punk",1,15,3.84,90.00,0,15,0,2016-11-25,2016-11-25
"PARTYNEXTDOOR, Drake, Yebba",1,15,3.26,82.00,0,15,0,2025-02-14,2025-02-14
