artist,album_name,track_name,track_id,duration_ms,explicit,album_release_date,track_popularity,album_id,duration_minutes,length_category,album_track_count,album_popularity_rank
"The Weeknd, JENNIE, Lily-Rose Depp",The Idol Episode 4 (Music from the HBO Original Series),"One Of The Girls (with JENNIE, Lily Rose Depp)",7CyPwkp0oE8Ro9Dd5CUDjW,244684,False,2023-06-23,92,7tzVd1fwkxsorytCBjEJkU,4.08,Medium (3-5 min),1,4
"The Weeknd, Playboi Carti",Hurry Up Tomorrow,Timeless (feat Playboi Carti),0FIDCNYYjNvPVimz5icugS,256000,True,2025-01-31,91,3OxfaVgvTxUTy7276t7SPU,4.27,Medium (3-5 min),2,3
The Weeknd,After Hours,Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,200040,False,2020-03-20,90,4yP0hdKOZPNshxUOjY0cZj,3.33,Medium (3-5 min),2,3
"The Weeknd, Daft Punk",Starboy,Starboy,7MXVkk9YMctZqd1Srtv4MB,230453,True,2016-11-25,90,2ODvWsOgouMbaA5xf0RkJe,3.84,Medium (3-5 min),2,3
The Weeknd,Starboy,Die For You,2LBqCSwhJGcFQeTHMVGwy3,260253,False,2016-11-24,86,4AdZV63ycxFLF6Hcol0QnB,4.34,Medium (3-5 min),2,3
The Weeknd,Beauty Behind The Madness,The Hills,7fBv7CLKzipRk6EC6TWHOB,242253,True,2015-08-28,87,0P3oVJBFOv3TDXlYRhGL7s,4.04,Medium (3-5 min),1,4
"The Weeknd, Ariana Grande",After Hours (Deluxe),Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,1oFAF1hdPOickyHgbuRjyX,191013,False,2020-03-20,84,4ZyeHIgdujClXSjC2cSqSb,3.18,Medium (3-5 min),1,4
The Weeknd,After Hours,Save Your Tears,5QO79kh1waicV47BqGRL3g,215626,True,2020-03-20,86,4yP0hdKOZPNshxUOjY0cZj,3.59,Medium (3-5 min),2,3
The Weeknd,"My Dear Melancholy,",Call Out My Name,09mEdoA6zrmBPgTEN5qXmN,228373,False,2018-03-30,86,4qZBW3f2Q8y0k1A84d4iAO,3.81,Medium (3-5 min),1,4
"The Weeknd, Anitta",Hurry Up Tomorrow,São Paulo (feat. Anitta),7DY756WOLyOz2Xnhw4EFiC,301623,True,2025-01-31,85,3OxfaVgvTxUTy7276t7SPU,5.03,Long (>5 min),2,3
Taylor Swift,The Life of a Showgirl,The Fate of Ophelia,53iuhJlwXhSER5J2IYYv1W,226073,False,2025-10-03,100,4a6NzYL1YHRUgx9e3YZI6I,3.77,Medium (3-5 min),10,1
Taylor Swift,The Life of a Showgirl,Opalite,3yWuTOYDztXjZxdE2cIRUa,235355,False,2025-10-03,96,4a6NzYL1YHRUgx9e3YZI6I,3.92,Medium (3-5 min),10,1
Taylor Swift,The Life of a Showgirl,Elizabeth Taylor,1jgTiNob5cVyXeJ3WgX5bL,208291,False,2025-10-03,93,4a6NzYL1YHRUgx9e3YZI6I,3.47,Medium (3-5 min),10,1
Taylor Swift,The Life of a Showgirl,Father Figure,03bTIHJElXZ0O0jqOQvAbY,212777,True,2025-10-03,92,4a6NzYL1YHRUgx9e3YZI6I,3.55,Medium (3-5 min),10,1
"Taylor Swift, Sabrina Carpenter",The Life of a Showgirl,The Life of a Showgirl (feat. Sabrina Carpenter),5eXgqtg3T8Av0m1FUaGHex,241766,True,2025-10-03,91,4a6NzYL1YHRUgx9e3YZI6I,4.03,Medium (3-5 min),10,1
Taylor Swift,The Life of a Showgirl,Wi$h Li$t,2TEQvxxQabwLQMqWMg1qGu,207349,True,2025-10-03,91,4a6NzYL1YHRUgx9e3YZI6I,3.46,Medium (3-5 min),10,1
